word,level,pos_x,headword_x,pos_y,CEFR_x,CoreInventory 1,CoreInventory 2,Threshold,headword_y,pos,CEFR_y,notes,ID,Shorthand Code,Grammatical Item,Sentence Type,CEFR-J Level,FREQ*DISP,Core Inventory,EGP,GSELO,Notes,AfterDot,Shorthand Split,Shorthand Clean
that,A1,"determiner, pronoun, conjunction",that,conjunction,A1,,,,,,,,151,CL.that.APP,the fact(s) that+CLAUSE,,,B2,,B2,,名詞はfactに限定;名詞句・代名詞が後続するものに限定,that.APP,that,that
that,A1,"determiner, pronoun, conjunction",that,conjunction,A1,,,,,,,,152,CL.that.OBJ,V+that+CLAUSE,,A2.1,A1,,A2-B1,A2,直接目的語に限定,that.OBJ,that,that
that,A1,"determiner, pronoun, conjunction",that,conjunction,A1,,,,,,,,162,CL.that.OMIT,hope/know/think+CLAUSE (without 'that'),,A1.2,A1,,A2,A2,動詞はhope/know/thinkに限定;節部分は名詞句・代名詞+(助)動詞・副詞に限定,that.OMIT,that,that
that,A1,"determiner, pronoun, conjunction",that,conjunction,A1,,,,,,,,174,PREL.that,NOMINATIVE RELATIVE PRONOUN:,,A1.1,A1,B2,A2,,名詞に後続し(助)動詞・副詞が後続するものに限定,that,that,that
that,A1,"determiner, pronoun, conjunction",that,conjunction,A1,,,,,,,,178,PRELO.that,ACCUSATIVE RELATIVE PRONOUN: that,,B2.2*,B2*,B2*,A2-B2*,B1*,名詞に後続し(助)動詞・副詞が後続するものに限定,that,that,that
that,A1,"determiner, pronoun, conjunction",that,determiner,A1,,,,,,,,8-2,DT.is_this.that,Is this/that ...?,AFF. INT.,,A1,A1,A2,A1,文頭(相当)または接続詞直後の位置に限定・疑問符で終わる文に限定;this/thatの後にNNが続かないものに限定,is_this.that,that,that
that,A1,"determiner, pronoun, conjunction",that,determiner,A1,,,,,,,,8-3,DT.isn't_this.that,Isn't this/that ...?,NEG. INT.,,,A1,A2,A1,文頭(相当)または接続詞直後の位置に限定・疑問符で終わる文に限定;this/thatの後にNNが続かないものに限定,isn't_this.that,that,that
that,A1,"determiner, pronoun, conjunction",that,determiner,A1,,,,,,,,151,CL.that.APP,the fact(s) that+CLAUSE,,,B2,,B2,,名詞はfactに限定;名詞句・代名詞が後続するものに限定,that.APP,that,that
that,A1,"determiner, pronoun, conjunction",that,determiner,A1,,,,,,,,152,CL.that.OBJ,V+that+CLAUSE,,A2.1,A1,,A2-B1,A2,直接目的語に限定,that.OBJ,that,that
that,A1,"determiner, pronoun, conjunction",that,determiner,A1,,,,,,,,162,CL.that.OMIT,hope/know/think+CLAUSE (without 'that'),,A1.2,A1,,A2,A2,動詞はhope/know/thinkに限定;節部分は名詞句・代名詞+(助)動詞・副詞に限定,that.OMIT,that,that
that,A1,"determiner, pronoun, conjunction",that,determiner,A1,,,,,,,,174,PREL.that,NOMINATIVE RELATIVE PRONOUN:,,A1.1,A1,B2,A2,,名詞に後続し(助)動詞・副詞が後続するものに限定,that,that,that
that,A1,"determiner, pronoun, conjunction",that,determiner,A1,,,,,,,,178,PRELO.that,ACCUSATIVE RELATIVE PRONOUN: that,,B2.2*,B2*,B2*,A2-B2*,B1*,名詞に後続し(助)動詞・副詞が後続するものに限定,that,that,that
that,A1,"determiner, pronoun, conjunction",that,pronoun,A1,,,,,,,,8-2,DT.is_this.that,Is this/that ...?,AFF. INT.,,A1,A1,A2,A1,文頭(相当)または接続詞直後の位置に限定・疑問符で終わる文に限定;this/thatの後にNNが続かないものに限定,is_this.that,that,that
that,A1,"determiner, pronoun, conjunction",that,pronoun,A1,,,,,,,,8-3,DT.isn't_this.that,Isn't this/that ...?,NEG. INT.,,,A1,A2,A1,文頭(相当)または接続詞直後の位置に限定・疑問符で終わる文に限定;this/thatの後にNNが続かないものに限定,isn't_this.that,that,that
that,A1,"determiner, pronoun, conjunction",that,pronoun,A1,,,,,,,,151,CL.that.APP,the fact(s) that+CLAUSE,,,B2,,B2,,名詞はfactに限定;名詞句・代名詞が後続するものに限定,that.APP,that,that
that,A1,"determiner, pronoun, conjunction",that,pronoun,A1,,,,,,,,152,CL.that.OBJ,V+that+CLAUSE,,A2.1,A1,,A2-B1,A2,直接目的語に限定,that.OBJ,that,that
that,A1,"determiner, pronoun, conjunction",that,pronoun,A1,,,,,,,,162,CL.that.OMIT,hope/know/think+CLAUSE (without 'that'),,A1.2,A1,,A2,A2,動詞はhope/know/thinkに限定;節部分は名詞句・代名詞+(助)動詞・副詞に限定,that.OMIT,that,that
that,A1,"determiner, pronoun, conjunction",that,pronoun,A1,,,,,,,,174,PREL.that,NOMINATIVE RELATIVE PRONOUN:,,A1.1,A1,B2,A2,,名詞に後続し(助)動詞・副詞が後続するものに限定,that,that,that
that,A1,"determiner, pronoun, conjunction",that,pronoun,A1,,,,,,,,178,PRELO.that,ACCUSATIVE RELATIVE PRONOUN: that,,B2.2*,B2*,B2*,A2-B2*,B1*,名詞に後続し(助)動詞・副詞が後続するものに限定,that,that,that
the,A1,,the,determiner,A1,,,,,,,,14,DT.the,DEFINITE ARTICLES,,A1.1,A1,A1-B1,A1-A2,A1,,the,the,the
theatre,A1,noun,,,,,,,,,,,,,,,,,,,,,,,
their,A1,determiner,their,determiner,A1,,,,,,,,,,,,,,,,,,,,
them,A1,pronoun,them,pronoun,A1,,,,,,,,,,,,,,,,,,,,
then,A1,adverb,then,adverb,A1,,,,,,,,,,,,,,,,,,,,
there,A1,adverb,there,adverb,A1,,,,,,,,146,EX.there.AFF,there+be,AFF. DEC.,A1.2,A1,A1,A1-B2,A1,文頭(相当)または接続詞直後の位置に限定,there.AFF,there,there
there,A1,adverb,there,adverb,A1,,,,,,,,146-1,EX.there.NEG,there+be,NEG. DEC.,,A1,A1,B1,A1,文頭(相当)または接続詞直後の位置に限定,there.NEG,there,there
there,A1,adverb,there,adverb,A1,,,,,,,,146-2,EX.there.INT.AFF,there+be,AFF. INT.,,A1,A1,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;thereがRBと誤認識されていることも多い,there.INT.AFF,there,there
there,A1,adverb,there,adverb,A1,,,,,,,,146-3,EX.there.INT.NEG,there+be,NEG. INT.,,,A1,C1,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,there.INT.NEG,there,there
there,A1,adverb,there,adverb,A1,,,,,,,,147,EX.there.PF.AFF,there+have/has+been,AFF. DEC.,,B2,,,,文頭(相当)または接続詞直後の位置に限定,there.PF.AFF,there,there
there,A1,adverb,there,adverb,A1,,,,,,,,147-1,EX.there.PF.NEG,there+have/has+been,NEG. DEC.,,,,,,文頭(相当)または接続詞直後の位置に限定,there.PF.NEG,there,there
there,A1,adverb,there,adverb,A1,,,,,,,,147-2,EX.there.PF.INT.AFF,there+have/has+been,AFF. INT.,,,,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,there.PF.INT.AFF,there,there
there,A1,adverb,there,adverb,A1,,,,,,,,147-3,EX.there.PF.INT.NEG,there+have/has+been,NEG. INT.,,,,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,there.PF.INT.NEG,there,there
there,A1,adverb,there,adverb,A1,,,,,,,,148,EX.there.MD.AFF,there+AUX+be,AFF. DEC.,,B2,,"B1-B2, C1",,文頭(相当)または接続詞直後の位置に限定;助動詞はMDに限定,there.MD.AFF,there,there
there,A1,adverb,there,adverb,A1,,,,,,,,148-1,EX.there.MD.NEG,there+AUX+be,NEG. DEC.,,,,,,文頭(相当)または接続詞直後の位置に限定;助動詞はMDに限定,there.MD.NEG,there,there
there,A1,adverb,there,adverb,A1,,,,,,,,148-2,EX.there.MD.INT.AFF,there+AUX+be,AFF. INT.,,,,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;助動詞はMDに限定,there.MD.INT.AFF,there,there
there,A1,adverb,there,adverb,A1,,,,,,,,148-3,EX.there.MD.INT.NEG,there+AUX+be,NEG. INT.,,,,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;助動詞はMDに限定,there.MD.INT.NEG,there,there
they,A1,pronoun,they,pronoun,A1,,,,,,,,,,,,,,,,,,,,
thing,A1,noun,thing,noun,A1,,,,,,,,,,,,,,,,,,,,
think,A1,verb,think,verb,A1,,,,,,,,,,,,,,,,,,,,
third,A1,,third,adjective,A2,,,,,,,,,,,,,,,,,,,,
thirsty,A1,adjective,thirsty,adjective,A2,,,,,,,,,,,,,,,,,,,,
thirteen,A1,,thirteen,number,A1,,,,,,,,,,,,,,,,,,,,
thirty,A1,,thirty,number,A1,,,,,,,,,,,,,,,,,,,,
this,A1,"determiner, pronoun",this,determiner,A1,,,,,,,,8,DT.this.that_is,This/That is,AFF. DEC.,A1.1,A1,A1,A2,A1,文頭(相当)または接続詞直後の位置に限定,this.that_is,this,this
this,A1,"determiner, pronoun",this,determiner,A1,,,,,,,,8-1,DT.this.that_is_not,This/That is not,NEG. DEC.,,,A1,A1,A1,文頭(相当)または接続詞直後の位置に限定,this.that_is_not,this,this
this,A1,"determiner, pronoun",this,determiner,A1,,,,,,,,11,DT.this.that_N,This/That N,AFF. DEC./NEG. DEC.,A2.1,A1,A1,"A1-B1, C2",A1,文頭(相当)または接続詞直後の位置に限定;名詞はNNに限定,this.that_N,this,this
this,A1,"determiner, pronoun",this,pronoun,A1,,,,,,,,8,DT.this.that_is,This/That is,AFF. DEC.,A1.1,A1,A1,A2,A1,文頭(相当)または接続詞直後の位置に限定,this.that_is,this,this
this,A1,"determiner, pronoun",this,pronoun,A1,,,,,,,,8-1,DT.this.that_is_not,This/That is not,NEG. DEC.,,,A1,A1,A1,文頭(相当)または接続詞直後の位置に限定,this.that_is_not,this,this
this,A1,"determiner, pronoun",this,pronoun,A1,,,,,,,,11,DT.this.that_N,This/That N,AFF. DEC./NEG. DEC.,A2.1,A1,A1,"A1-B1, C2",A1,文頭(相当)または接続詞直後の位置に限定;名詞はNNに限定,this.that_N,this,this
thousand,A1,,thousand,number,A2,,,,,,,,,,,,,,,,,,,,
three,A1,,three,number,A1,,,,,,,,,,,,,,,,,,,,
through,A1,"preposition, adverb",through,adverb,B1,,,,,,,,,,,,,,,,,,,,
through,A1,"preposition, adverb",through,preposition,A1,,,,,,,,,,,,,,,,,,,,
thursday,A1,noun,thursday,noun,A1,,,,,,,,,,,,,,,,,,,,
ticket,A1,noun,ticket,noun,A1,,,"Free time, entertainment",,,,,,,,,,,,,,,,,
time,A1,noun,time,noun,A1,,,,,,,,,,,,,,,,,,,,
time,A1,noun,time,verb,B2,,,,,,,,,,,,,,,,,,,,
tired,A1,adjective,tired,adjective,A1,,,,,,,,,,,,,,,,,,,,
title,A1,noun,title,noun,A2,Books and literature,,"Free time, entertainment",,,,,,,,,,,,,,,,,
to,A1,"preposition, NA",to,infinitive-to,A1,,,,,,,,,,,,,,,,,,,,
to,A1,"preposition, NA",to,preposition,A1,,,,,,,,,,,,,,,,,,,,
today,A1,"adverb, noun",today,adverb,A1,,,,,,,,,,,,,,,,,,,,
today,A1,"adverb, noun",today,noun,A1,,,,,,,,,,,,,,,,,,,,
together,A1,adverb,together,adverb,A1,,,,,,,,,,,,,,,,,,,,
toilet,A1,noun,toilet,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
tomato,A1,noun,tomato,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
tomorrow,A1,"adverb, noun",tomorrow,adverb,A1,,,,,,,,,,,,,,,,,,,,
tomorrow,A1,"adverb, noun",tomorrow,noun,A1,,,,,,,,,,,,,,,,,,,,
tonight,A1,"adverb, noun",tonight,adverb,A1,,,,,,,,,,,,,,,,,,,,
tonight,A1,"adverb, noun",tonight,noun,A2,,,,,,,,,,,,,,,,,,,,
too,A1,adverb,too,adverb,A1,,,,,,,,,,,,,,,,,,,,
tooth,A1,noun,tooth,noun,A1,Travel and services vocab,,Health and body care,,,,,,,,,,,,,,,,,
topic,A1,noun,topic,noun,A1,,,,,,,,,,,,,,,,,,,,
tourist,A1,noun,tourist,noun,A2,Travel and services vocab,,Travel,,,,,,,,,,,,,,,,,
town,A1,noun,town,noun,A1,Nationalities and countries,,"House and home, environment",,,,,,,,,,,,,,,,,
traffic,A1,noun,traffic,noun,A2,"Things in the town, shops and shopping",,Services,,,,,,,,,,,,,,,,,
train,A1,noun,train,noun,A1,Ways of travelling,,Travel,,,,,,,,,,,,,,,,,
train,A1,noun,train,verb,A2,,,,,,,,,,,,,,,,,,,,
travel,A1,"verb, noun",travel,noun,A2,Hobbies and pastimes,,"Free time, entertainment",,,,,,,,,,,,,,,,,
travel,A1,"verb, noun",travel,verb,A1,,,,,,,,,,,,,,,,,,,,
tree,A1,noun,tree,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
trip,A1,noun,trip,noun,A1,Hobbies and pastimes,,Travel,,,,,,,,,,,,,,,,,
trip,A1,noun,trip,verb,B2,,,,,,,,,,,,,,,,,,,,
trousers,A1,noun,trousers,noun,A1,Clothes,,Shopping,,,,,,,,,,,,,,,,,
true,A1,adjective,true,adjective,A1,,,,,,,,,,,,,,,,,,,,
try,A1,verb,try,noun,A1,,,,,,,,,,,,,,,,,,,,
try,A1,verb,try,verb,A2,,,,,,,,,,,,,,,,,,,,
tshirt,A1,noun,,,,,,,,,,,,,,,,,,,,,,,
tuesday,A1,noun,tuesday,noun,A1,,,,,,,,,,,,,,,,,,,,
turn,A1,"verb, noun",turn,noun,A1,,,,,,,,,,,,,,,,,,,,
turn,A1,"verb, noun",turn,verb,A1,,,,,,,,,,,,,,,,,,,,
tv,A1,noun,tv,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
twelve,A1,,twelve,number,A1,,,,,,,,,,,,,,,,,,,,
twenty,A1,,twenty,number,A1,,,,,,,,,,,,,,,,,,,,
twice,A1,adverb,twice,adverb,A2,,,,,,,,,,,,,,,,,,,,
two,A1,,two,number,A1,,,,,,,,,,,,,,,,,,,,
type,A1,noun,type,noun,A1,,,,,,,,,,,,,,,,,,,,
type,A1,noun,type,verb,B1,,,,,,,,,,,,,,,,,,,,
umbrella,A1,noun,umbrella,noun,A1,Objects and rooms,,Shopping,,,,,,,,,,,,,,,,,
uncle,A1,noun,uncle,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
under,A1,"preposition, adverb",under,preposition,A1,,,,,,,,,,,,,,,,,,,,
understand,A1,verb,understand,verb,A2,,,,,,,,,,,,,,,,,,,,
university,A1,noun,university,noun,A2,Education,,Education,,,,,,,,,,,,,,,,,
until,A1,"conjunction, preposition",until,conjunction,B1,,,,,,,,,,,,,,,,,,,,
until,A1,"conjunction, preposition",until,preposition,A1,,,,,,,,,,,,,,,,,,,,
up,A1,"adverb, preposition",up,adverb,A2,,,,,,,,,,,,,,,,,,,,
up,A1,"adverb, preposition",up,preposition,A1,,,,,,,,,,,,,,,,,,,,
upstairs,A1,adverb,upstairs,adjective,B1,,,,,,,,,,,,,,,,,,,,
upstairs,A1,adverb,upstairs,adverb,A2,,,,,,,,,,,,,,,,,,,,
upstairs,A1,adverb,upstairs,noun,B1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
us,A1,pronoun,us,pronoun,A1,,,,,,,,,,,,,,,,,,,,
use,A1,verb,use,noun,A2,,,,,,,,,,,,,,,,,,,,
use,A1,verb,use,verb,A1,,,,,,,,,,,,,,,,,,,,
useful,A1,adjective,useful,adjective,A2,,,,,,,,,,,,,,,,,,,,
usually,A1,adverb,usually,adverb,A1,,,,,,,,,,,,,,,,,,,,
vacation,A1,noun,vacation,noun,A1,Holidays,,"Free time, entertainment",,,,,,,,,,,,,,,,,
vegetable,A1,noun,vegetable,noun,A1,Food and drink,,Food and drink,,,,,,,,,,,,,,,,,
very,A1,adverb,very,adjective,B2,,,,,,,,,,,,,,,,,,,,
very,A1,adverb,very,adverb,A1,,,,,,,,,,,,,,,,,,,,
video,A1,noun,video,noun,A1,Objects and rooms,,"Free time, entertainment",,,,,,,,,,,,,,,,,
village,A1,noun,village,noun,A2,Nationalities and countries,,Places,,,,,,,,,,,,,,,,,
visit,A1,"verb, noun",visit,noun,A1,,,,,,,,,,,,,,,,,,,,
visit,A1,"verb, noun",visit,verb,A1,,,,,,,,,,,,,,,,,,,,
visitor,A1,noun,visitor,noun,A2,,,Personal identification,,,,,,,,,,,,,,,,,
wait,A1,verb,wait,noun,B2,,,,,,,,,,,,,,,,,,,,
wait,A1,verb,wait,verb,A1,,,,,,,,,,,,,,,,,,,,
waiter,A1,noun,waiter,noun,A1,Work and Jobs,,Food and drink,,,,,,,,,,,,,,,,,
wake,A1,verb,wake,noun,A1,,,,,,,,,,,,,,,,,,,,
wake,A1,verb,wake,verb,B1,,,,,,,,,,,,,,,,,,,,
walk,A1,"verb, noun",walk,noun,A1,,,"Free time, entertainment",,,,,,,,,,,,,,,,,
walk,A1,"verb, noun",walk,verb,A1,,,,,,,,,,,,,,,,,,,,
wall,A1,noun,wall,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
want,A1,verb,want,noun,B2,,,,,,,,,,,,,,,,,,,,
want,A1,verb,want,verb,A1,,,,,,,,,,,,,,,,,,,,
warm,A1,adjective,warm,adjective,A1,,,,,,,,,,,,,,,,,,,,
warm,A1,adjective,warm,verb,B1,,,,,,,,,,,,,,,,,,,,
wash,A1,verb,wash,noun,A1,,,Daily life,,,,,,,,,,,,,,,,,
wash,A1,verb,wash,verb,A1,,,,,,,,,,,,,,,,,,,,
watch,A1,"verb, noun",watch,noun,A1,Objects and rooms,,"House and home, environment",,,,,,,,,,,,,,,,,
watch,A1,"verb, noun",watch,verb,A1,,,,,,,,,,,,,,,,,,,,
water,A1,noun,water,noun,A1,,,Food and drink,,,,,,,,,,,,,,,,,
water,A1,noun,water,verb,B2,,,,,,,,,,,,,,,,,,,,
way,A1,noun,way,noun,A1,,,Travel,,,,,,,,,,,,,,,,,
we,A1,pronoun,we,pronoun,A1,,,,,,,,,,,,,,,,,,,,
wear,A1,verb,wear,verb,A1,,,,,,,,,,,,,,,,,,,,
weather,A1,noun,weather,noun,A1,,,Weather,,,,,,,,,,,,,,,,,
website,A1,noun,website,noun,A2,Media,,"Free time, entertainment",,,,,,,,,,,,,,,,,
wednesday,A1,noun,wednesday,noun,A1,,,,,,,,,,,,,,,,,,,,
week,A1,noun,week,noun,A1,,,,,,,,,,,,,,,,,,,,
weekend,A1,noun,weekend,noun,A1,,,,,,,,,,,,,,,,,,,,
welcome,A1,"exclamation, verb, adjective",welcome,adjective,B1,,,,,,,,,,,,,,,,,,,,
welcome,A1,"exclamation, verb, adjective",welcome,interjection,A1,,,,,,,,,,,,,,,,,,,,
welcome,A1,"exclamation, verb, adjective",welcome,noun,B2,,,,,,,,,,,,,,,,,,,,
welcome,A1,"exclamation, verb, adjective",welcome,verb,A1,,,,,,,,,,,,,,,,,,,,
well,A1,"adverb, adjective, exclamation",well,adjective,A1,,,,,,,,,,,,,,,,,,,,
well,A1,"adverb, adjective, exclamation",well,adverb,A1,,,,,,,,,,,,,,,,,,,,
west,A1,"noun, adjective, adverb",west,adjective,A2,,,,,,,,,,,,,,,,,,,,
west,A1,"noun, adjective, adverb",west,adverb,A2,,,,,,,,,,,,,,,,,,,,
west,A1,"noun, adjective, adverb",west,noun,A2,,,,,,,,,,,,,,,,,,,,
what,A1,"pronoun, determiner",what,determiner,A1,,,,,,,,183,PREL.what,COMPOUND RELATIVE PRONOUN:,,A2.1,A1,,,,代名詞が後続するものに限定;疑問詞のwhatも含まれる,what,what,what
what,A1,"pronoun, determiner",what,determiner,A1,,,,,,,,192,EXCL.what,EXCLAMATION: What ...!,EXCLAMATION,,,,A2,,文頭(相当)位置・途中に句読点なし・感嘆符で終わる文に限定,what,what,what
what,A1,"pronoun, determiner",what,determiner,A1,,,,,,,,205,EMP.what.CLEFT.AFF,PSEUDO-CLEFT SENTENCE: WHAT,(MAIN CLAUSE) AFF. DEC.,,,,,,what(+名詞句・代名詞)(+助動詞)+動詞(+名詞句・代名詞)+{be}+名詞句・代名詞のみから成る文に限定,what.CLEFT.AFF,what,what
what,A1,"pronoun, determiner",what,determiner,A1,,,,,,,,205-1,EMP.what.CLEFT.NEG,PSEUDO-CLEFT SENTENCE: WHAT,(MAIN CLAUSE) NEG. DEC.,,,,,,what(+名詞句・代名詞)(+助動詞)+動詞(+名詞句・代名詞)+{be}+名詞句・代名詞のみから成る文に限定,what.CLEFT.NEG,what,what
what,A1,"pronoun, determiner",what,determiner,A1,,,,,,,,239,INT.what,WH- QUESTION: What ...?,AFF. INT./NEG. INT.,A1.1,A1,A1-B1,A2-C1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,what,what,what
what,A1,"pronoun, determiner",what,pronoun,A1,,,,,,,,183,PREL.what,COMPOUND RELATIVE PRONOUN:,,A2.1,A1,,,,代名詞が後続するものに限定;疑問詞のwhatも含まれる,what,what,what
what,A1,"pronoun, determiner",what,pronoun,A1,,,,,,,,192,EXCL.what,EXCLAMATION: What ...!,EXCLAMATION,,,,A2,,文頭(相当)位置・途中に句読点なし・感嘆符で終わる文に限定,what,what,what
what,A1,"pronoun, determiner",what,pronoun,A1,,,,,,,,205,EMP.what.CLEFT.AFF,PSEUDO-CLEFT SENTENCE: WHAT,(MAIN CLAUSE) AFF. DEC.,,,,,,what(+名詞句・代名詞)(+助動詞)+動詞(+名詞句・代名詞)+{be}+名詞句・代名詞のみから成る文に限定,what.CLEFT.AFF,what,what
what,A1,"pronoun, determiner",what,pronoun,A1,,,,,,,,205-1,EMP.what.CLEFT.NEG,PSEUDO-CLEFT SENTENCE: WHAT,(MAIN CLAUSE) NEG. DEC.,,,,,,what(+名詞句・代名詞)(+助動詞)+動詞(+名詞句・代名詞)+{be}+名詞句・代名詞のみから成る文に限定,what.CLEFT.NEG,what,what
what,A1,"pronoun, determiner",what,pronoun,A1,,,,,,,,239,INT.what,WH- QUESTION: What ...?,AFF. INT./NEG. INT.,A1.1,A1,A1-B1,A2-C1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,what,what,what
when,A1,"adverb, pronoun, conjunction",when,adverb,A1,,,,,,,,155,CL.when,ADVERBIAL CLAUSE: when,,A1.2,A1,,A2,B1,接続詞と疑問詞が区別されないため途中に句読点なし・終 止符または感嘆符で終わる文に限定,when,when,when
when,A1,"adverb, pronoun, conjunction",when,adverb,A1,,,,,,,,236,INT.when,WH- QUESTION: When ...?,AFF. INT./NEG. INT.,,A1,A1,A2-C1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,when,when,when
when,A1,"adverb, pronoun, conjunction",when,conjunction,A1,,,,,,,,155,CL.when,ADVERBIAL CLAUSE: when,,A1.2,A1,,A2,B1,接続詞と疑問詞が区別されないため途中に句読点なし・終 止符または感嘆符で終わる文に限定,when,when,when
when,A1,"adverb, pronoun, conjunction",when,conjunction,A1,,,,,,,,236,INT.when,WH- QUESTION: When ...?,AFF. INT./NEG. INT.,,A1,A1,A2-C1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,when,when,when
where,A1,"adverb, conjunction",where,adverb,A1,,,,,,,,245,INT.where,WH- QUESTION: Where ...?,AFF. INT./NEG. INT.,A1.3,A1,,A2-C1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,where,where,where
where,A1,"adverb, conjunction",where,conjunction,A1,,,,,,,,245,INT.where,WH- QUESTION: Where ...?,AFF. INT./NEG. INT.,A1.3,A1,,A2-C1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,where,where,where
which,A1,"pronoun, determiner",which,determiner,A1,,,,,,,,173,PREL.which,NOMINATIVE RELATIVE PRONOUN: which,,B2.2,B2,B2,A2-B2,B1,名詞に後続し(助)動詞・副詞が後続するものに限定,which,which,which
which,A1,"pronoun, determiner",which,determiner,A1,,,,,,,,177,PRELO.which,ACCUSATIVE RELATIVE PRONOUN: which,,B2.2*,B2*,B2*,A2-B2*,B1*,名詞に後続し(助)動詞・副詞が後続するものに限定,which,which,which
which,A1,"pronoun, determiner",which,determiner,A1,,,,,,,,241,INT.which,WH- QUESTION: Which ...?,AFF. INT./NEG. INT.,,A2,,A2-C1,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,which,which,which
which,A1,"pronoun, determiner",which,pronoun,A1,,,,,,,,173,PREL.which,NOMINATIVE RELATIVE PRONOUN: which,,B2.2,B2,B2,A2-B2,B1,名詞に後続し(助)動詞・副詞が後続するものに限定,which,which,which
which,A1,"pronoun, determiner",which,pronoun,A1,,,,,,,,177,PRELO.which,ACCUSATIVE RELATIVE PRONOUN: which,,B2.2*,B2*,B2*,A2-B2*,B1*,名詞に後続し(助)動詞・副詞が後続するものに限定,which,which,which
which,A1,"pronoun, determiner",which,pronoun,A1,,,,,,,,241,INT.which,WH- QUESTION: Which ...?,AFF. INT./NEG. INT.,,A2,,A2-C1,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,which,which,which
white,A1,"adjective, noun",white,adjective,A1,,,,,,,,,,,,,,,,,,,,
white,A1,"adjective, noun",white,noun,A1,Colours,,,,,,,,,,,,,,,,,,,
who,A1,pronoun,who,pronoun,A1,,,,,,,,172,PREL.who,NOMINATIVE RELATIVE PRONOUN: who,,A1.3,A1,B2,A2-B2,B1,名詞に後続し(助)動詞・副詞が後続するものに限定,who,who,who
who,A1,pronoun,who,pronoun,A1,,,,,,,,175,PRELO.who,ACCUSATIVE RELATIVE PRONOUN: who,,B2.2*,B2*,B2*,A2-B2*,B1*,名詞に後続し(助)動詞・副詞が後続するものに限定,who,who,who
who,A1,pronoun,who,pronoun,A1,,,,,,,,237,INT.who,WH- QUESTION: Who ...?,AFF. INT./NEG. INT.,B2.2,A1,B1,A2-C1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,who,who,who
why,A1,adverb,why,adverb,A1,,,,,,,,235,INT.why,WH- QUESTION: Why ...?,AFF. INT./NEG. INT.,A1.2,A1,A1-(A2)-B1,A2-C1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,why,why,why
wife,A1,noun,wife,noun,A1,Family life,,Personal identification,,,,,,,,,,,,,,,,,
will,A1,modal verb,will,modal auxiliary,A1,,,,,,,,141,MD.will.AFF,MODAL/AUX: will,AFF. DEC.,A2.2,A2,A2-B2,A1-C2,A1-B1,,will.AFF,will,will
will,A1,modal verb,will,modal auxiliary,A1,,,,,,,,141-1,MD.will.NEG,MODAL/AUX: will,NEG. DEC.,B1.1,B1,A2-B2,A2,B1,,will.NEG,will,will
will,A1,modal verb,will,modal auxiliary,A1,,,,,,,,141-2,MD.will.INT.AFF,MODAL/AUX: will,AFF. INT.,,,A2-B2,A2,A2,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,will.INT.AFF,will,will
will,A1,modal verb,will,modal auxiliary,A1,,,,,,,,141-3,MD.will.INT.NEG,MODAL/AUX: will,NEG. INT.,,,A2-B2,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;動詞がV.Pと誤認識されていることもある,will.INT.NEG,will,will
will,A1,modal verb,will,noun,B2,,,,,,,,141,MD.will.AFF,MODAL/AUX: will,AFF. DEC.,A2.2,A2,A2-B2,A1-C2,A1-B1,,will.AFF,will,will
will,A1,modal verb,will,noun,B2,,,,,,,,141-1,MD.will.NEG,MODAL/AUX: will,NEG. DEC.,B1.1,B1,A2-B2,A2,B1,,will.NEG,will,will
will,A1,modal verb,will,noun,B2,,,,,,,,141-2,MD.will.INT.AFF,MODAL/AUX: will,AFF. INT.,,,A2-B2,A2,A2,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,will.INT.AFF,will,will
